"last_name, first_name","player_id","year","hit","strikeout","walk","batting_avg","slg_percent","babip","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_hit_ground","xba",""
"Lowe, Brandon","664040","2022","52","61","27",".221",".383",".263","1","1","3","12",".237",
"Bader, Harrison","664056","2022","73","62","15",".250",".356",".300","17","4","4","32",".234",
"Fletcher, David","664058","2022","55","16","7",".255",".333",".268","1","6","3","14",".285",
"Haggerty, Sam","664059","2022","45","53","18",".256",".403",".333","13","4","4","14",".230",
"Moore, Dylan","664238","2022","46","75","34",".224",".385",".320","21","5","13","11",".202",
"Garlick, Kyle","664247","2022","35","48","8",".233",".433",".277","0","2","3","9",".227",
"Lopez, Alejo","664670","2022","38","21","9",".262",".331",".301","3","1","2","12",".249",
"Straw, Myles","664702","2022","118","87","54",".221",".273",".261","21","4","1","51",".236",
"Isbel, Kyle","664728","2022","54","75","16",".211",".340",".275","9","5","3","22",".220",
"Higgins, P.J.","664731","2022","46","58","22",".229",".383",".290","0","2","2","16",".205",
"Bohm, Alec","664761","2022","164","110","31",".280",".398",".319","2","18","4","54",".290",
"Wade Jr., LaMonte","664774","2022","45","51","26",".207",".359",".233","1","0","5","8",".221",
"Zavala, Seby","664874","2022","48","64","19",".270",".382",".404","0","1","3","12",".207",
"Mendick, Danny","664901","2022","28","23","7",".289",".443",".352","1","2","1","11",".229",
"Brown, Seth","664913","2022","115","146","51",".230",".444",".273","11","7","3","26",".251",
"McCarthy, Jake","664983","2022","91","76","23",".283",".427",".349","23","3","6","38",".249",
"Clemens, Kody","665019","2022","17","33","8",".145",".308",".148","1","1","0","3",".196",
"Walsh, Jared","665120","2022","91","138","27",".215",".374",".281","2","6","4","30",".221",
"Pena, Jeremy","665161","2022","132","135","22",".253",".426",".298","11","5","6","46",".248",
"Celestino, Gilberto","665482","2022","74","77","32",".238",".302",".310","4","13","2","37",".219",
"Guerrero Jr., Vladimir","665489","2022","175","116","58",".274",".480",".289","8","26","6","67",".276",
"Pache, Cristian","665506","2022","40","70","15",".166",".241",".220","2","5","1","15",".228",
"Soto, Juan","665742","2022","127","96","135",".242",".452",".249","6","12","4","41",".266",
"Taveras, Leody","665750","2022","82","88","21",".261",".366",".344","11","2","2","36",".226",
"Cabrera, Oswaldo","665828","2022","38","44","15",".247",".429",".305","3","1","0","8",".220",
"Cruz, Oneil","665833","2022","77","126","28",".233",".450",".317","10","3","1","27",".223",
"Chisholm Jr., Jazz","665862","2022","54","66","21",".254",".535",".294","12","0","3","19",".242",
"Gimenez, Andres","665926","2022","146","112","34",".297",".466",".353","20","9","25","64",".257",
"Kirilloff, Alex","666135","2022","36","36","5",".250",".361",".308","0","5","4","16",".228",
"Lowe, Josh","666139","2022","40","66","15",".221",".343",".336","3","1","1","12",".212",
"Lux, Gavin","666158","2022","116","95","47",".276",".399",".341","7","3","0","41",".247",
"Moniak, Mickey","666160","2022","18","44","4",".170",".302",".254","1","0","1","6",".155",
"Adell, Jo","666176","2022","60","107","11",".224",".373",".338","4","6","4","19",".201",
"Beer, Seth","666179","2022","21","31","11",".189",".243",".250","0","3","3","5",".215",
"Bichette, Bo","666182","2022","189","155","41",".290",".469",".347","13","21","2","70",".278",
"Carlson, Dylan","666185","2022","102","94","45",".236",".380",".281","5","6","7","27",".234",
"Trammell, Taylor","666211","2022","20","33","13",".196",".402",".242","2","2","0","5",".206",
"Morel, Christopher","666624","2022","89","137","38",".235",".433",".320","10","6","3","34",".233",
"Castro, Rodolfo","666801","2022","59","74","22",".233",".427",".284","5","6","2","24",".210",
"Dalbec, Bobby","666915","2022","68","118","29",".215",".369",".293","3","5","3","18",".216",
"Garcia, Adolis","666969","2022","151","183","40",".250",".456",".309","25","9","6","57",".244",
"Gurriel Jr., Lourdes","666971","2022","132","83","31",".291",".400",".346","3","11","6","50",".273",
"Arozarena, Randy","668227","2022","154","156","46",".263",".445",".325","32","17","11","55",".234",
"Pratto, Nick","668472","2022","29","66","19",".184",".386",".250","0","6","1","2",".173",
"Bleday, JJ","668709","2022","34","67","30",".167",".309",".216","4","5","2","5",".188",
